COMENTARIO,ALGORITMO,ENTRADA,SALIDA,OUTPUT_FILE,POR_SEGURIDAD,POR_ESTACIONES,POR_CANT,MOD_K,VALOR_KM,MAX_EPOCAS_BL,FACTOR_SOBRANTE,AUMENTO_TRAFICO,HIBRIDO,MAX_ITERACIONES,SEMILLA,PASO_VNS,NUM_VECINOS,TAM_POBLACION,TAM_ELITE,PROB_CRUCE,PROB_MUT,TAM_TORNEO,GEN_BUSQUEDALOCAL,BL_FIJA,MAX_EPOCAS_EVO
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,50,1000,1,0,0,963852741,0,128,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,50,1000,1,0,0,963852741,0,128,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,50,1000,1,0,0,963852741,0,128,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,50,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,50,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,50,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,50,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,50,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,50,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,50,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,50,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,50,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,50,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,64,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,128,128,1,0.8,0.2,2,50,1,50
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,64,1,0.8,0.2,2,50,1,100
*,Evolutivo,/home/cristobal/TFG/maribel/marzo/Seville_2021-03-01_2021-03-31_15min_,/home/cristobal/TFG/C/RESULTADOS_EVOLUTIVO,Experimento_Evo_Sevilla6_parametrosBasicos.csv,0,0.1,0.1,10,1,100,1000,1,0,0,963852741,0,64,64,1,0.8,0.2,2,50,1,100
